StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
2,South Lake B,7/29/2005,1145,Chloride,,U,18.8,2,VT,200542316
2,South Lake B,8/12/2005,1140,Chloride,,U,19.7,2,VT,200542340
2,South Lake B,8/16/2005,1330,Chloride,,U,22.7,2,VT,200541138
2,South Lake B,8/24/2005,1120,Chloride,,U,22.9,2,VT,200542364
2,South Lake B,9/7/2005,1110,Chloride,,U,25.1,2,VT,200542400
2,South Lake B,9/21/2005,1430,Chloride,,U,23.8,2,VT,200541199
2,South Lake B,9/23/2005,1110,Chloride,,U,24.2,2,VT,200542549
2,South Lake B,10/6/2005,1230,Chloride,,U,25.2,COM,VT,200541210
2,South Lake B,10/11/2005,1110,Chloride,,U,18.6,2,VT,200542434
2,South Lake B,4/12/2006,1055,Chloride,,U,13,2,VT,200642055
2,South Lake B,5/2/2006,1050,Chloride,,U,17.5,2,VT,200642080
2,South Lake B,5/25/2006,1100,Chloride,,U,12.1,2,VT,200642148
2,South Lake B,6/8/2006,1250,Chloride,,U,11.9,2,VT,200641118
2,South Lake B,6/8/2006,1105,Chloride,,U,12,2,VT,200642166
2,South Lake B,6/30/2006,1050,Chloride,,U,10.5,COM,VT,200642220
2,South Lake B,7/13/2006,1300,Chloride,,U,12.2,2,VT,200641181
2,South Lake B,7/24/2006,1110,Chloride,,U,10.6,2,VT,200642270
2,South Lake B,7/31/2006,1232,Chloride,,U,13.7,2,VT,200641213
2,South Lake B,8/3/2006,1100,Chloride,,U,12.7,2,VT,200642289
2,South Lake B,8/11/2006,1120,Chloride,,U,14.1,2,VT,200642307
2,South Lake B,8/16/2006,1215,Chloride,,U,14.8,COM,VT,200641240
2,South Lake B,8/29/2006,1205,Chloride,,U,20.8,COM,VT,200641279
2,South Lake B,8/31/2006,1115,Chloride,,U,22.3,2,VT,200642358
2,South Lake B,9/15/2006,1130,Chloride,,U,21.5,COM,VT,200641314
2,South Lake B,9/18/2006,1055,Chloride,,U,22.1,COM,VT,200642398
2,South Lake B,9/27/2006,1120,Chloride,,U,24.3,2,VT,200642414
2,South Lake B,9/29/2006,1045,Chloride,,U,23.4,COM,VT,200641332
2,South Lake B,10/16/2006,1120,Chloride,,U,22.6,2,VT,200642427
2,South Lake B,5/1/2007,1100,Chloride,,U,11.3,2,VT,200742140
2,South Lake B,5/14/2007,1125,Chloride,,U,14.9,2,VT,200742157
2,South Lake B,5/25/2007,1100,Chloride,,U,14.8,COM,VT,200741057
2,South Lake B,5/25/2007,1050,Chloride,,U,15.3,COM,VT,200742182
2,South Lake B,6/7/2007,1330,Chloride,,U,18,2,VT,200741081
